;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
129;RFR;1850;185;1499;166;cab;9;0,9949373911177072;22,311322389642967;1,114475427397584;6,289418034274337;0,5764483168257257;0,9947788462700734;1,522184859479256;Not saved
130;GPR;1850;185;1499;166;cab;9;0,9999903521063571;1,2075584869669456;0,030211863586822426;0,011638446806691545;0,012410069463147266;0,9999903383556914;0,05356867831485016;Not saved
131;MTN;1850;185;1499;166;cab;9;0,9993686379849631;5,008994255783136;0,6181046562050903;0,7831295639945071;0,48934932962716005;0,9993498858206302;1,0062504369011225;Not saved
132;ANN;1850;185;1499;166;cw;9;0,9934911886901403;0,0009423474065460144;0,00015503885267025003;4,309219196489411e-08;0,00012515944034904337;0,9918282030357279;3,0619076852778377;Not saved
133;RFR;1850;185;1499;166;cw;9;0,06246783090131525;0,005117407910155482;0,001895799461990532;4,949344072231462e-06;0,0019276974321785177;0,06143008697379371;40,436719374393846;Not saved
134;GPR;1850;185;1499;166;cw;9;0,9999916011950806;5,3245246711069484e-05;3,494970352282369e-06;4,431256781152524e-11;1,990831478512669e-06;0,9999915967768032;0,06925624269395837;Not saved
135;MTN;1850;185;1499;166;cw;9;0,9950467112934808;0,0011729399427906455;0,00010152015130216179;2,7398811873503314e-08;7,390401917136097e-05;0,9948042204983455;1,984163026304765;Not saved
136;ANN;1850;185;1499;166;cm;9;0,9900932118424886;0,0010373617918561263;0,0001869373572717944;6,302258874708264e-08;0,0001531615030734945;0,9869137277228116;3,37780445494915;Not saved
137;RFR;1850;185;1499;166;cm;9;0,15152756556103453;0,004879672394707225;0,0016807001823161566;4,086431132013898e-06;0,0014300625045838042;0,1514764547340387;36,7863141180936;Not saved
138;GPR;1850;185;1499;166;cm;9;0,999988529319849;4,832569743692949e-05;4,062635700643732e-06;5,533966371090004e-11;2,428070235401111e-06;0,9999885090422109;0,0733769795940928;Not saved
139;MTN;1850;185;1499;166;cm;9;0,9947707436497666;0,0008592398363818747;0,00011366442767680509;2,8553196285753993e-08;8,205127017442589e-05;0,9940710956435175;2,2713039863322146;Not saved
140;ANN;1850;185;1499;166;lai;9;0,9899879495322996;0,9815707688463453;0,23333593000772562;0,09277212529573763;0,1809684703261849;0,9895746617367464;6,041374591647959;Not saved
141;RFR;1850;185;1499;166;lai;9;0,9586885923211972;2,905669831444942;0,40101334211821044;0,37086877133592944;0,25080434778286076;0,9583233392559567;15,720206084809515;Not saved
142;GPR;1850;185;1499;166;lai;9;0,9999964843057074;0,02003453718890702;0,0042179834971302985;3,1285167119086815e-05;0,0030477767201522177;0,9999964843055088;0,13936423304990467;Not saved
143;MTN;1850;185;1499;166;lai;9;0,9965628908802179;0,9048404784716997;0,11681785582917531;0,035307910473140726;0,06777120962234395;0,9960322466594599;2,465470383485386;Not saved
144;ANN;1850;185;1499;166;cab;10;0,9981550732132984;6,70291057891653;1,2011426166639114;2,510803073040621;0,9633501684460839;0,9980714797483069;2,417139967105647;Not saved
145;RFR;1850;185;1499;166;cab;10;0,9982895351083708;11,16636720742838;0,7752145228916574;2,2388427875502566;0,5156595332258922;0,9982803694552919;1,4090549949823958;Not saved
146;GPR;1850;185;1499;166;cab;10;0,9999986639279214;0,2723477621774073;0,02309863919028304;0,001745287371759608;0,014379479586345667;0,999998659463947;0,07256727141447103;Not saved
