;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
84;ANN;50;5;41;4;cw;6;0,8754003047011799;0,002431247533564624;0,0008130097030669259;1,5432863415168409e-06;0,0003293263452471347;0,8091478455521808;10,263669719410611;Not saved
85;RFR;50;5;41;4;cw;6;0,29176468906359376;0,0033060055599021835;0,002332520195654316;6,4538462356102915e-06;0,0026687942331923738;0,20187820924369204;50,517436339408775;Not saved
86;GPR;50;5;41;4;cw;6;0,9969947730464886;0,00040373947926862497;0,00014335180890267477;4,436054263333036e-08;8,311327527570555e-05;0,9945141060953574;2,0892707526777867;Not saved
87;MTN;50;5;41;4;cw;6;0,7827102162091134;0,003085717243408021;0,0011792450049444136;2,6043609611944095e-06;0,000568329672034153;0,6779289189359274;17,214988278423878;Not saved
88;ANN;50;5;41;4;cm;6;0,6359669176554333;0,003000802778804306;0,0009356696724626471;2,346504597676018e-06;0,00034580808900385633;0,4370680136855175;19,554270848651313;Not saved
89;RFR;50;5;41;4;cm;6;0,739051761905681;0,001902344484661398;0,0007713568062205961;1,1200604485344945e-06;0,0005261186241995938;0,7312948571631698;14,84279907739058;Not saved
90;GPR;50;5;41;4;cm;6;0,9845442796201755;0,0004472093500987751;0,00021236683794650588;7,089034111890886e-08;0,00018984371184673334;0,9829932399978666;4,751458483366234;Not saved
91;MTN;50;5;41;4;cm;6;0,365445158567013;0,0033610891077458897;0,001186243632004589;3,096728175660754e-06;0,0006679942263028483;0,2570876082121266;26,940610370249544;Not saved
92;ANN;50;5;41;4;lai;6;0,8018674612751161;2,2128687533810627;1,0805650078142026;1,842998318836801;1,0370925168627927;0,8016640825681463;21,93841802060923;Not saved
93;RFR;50;5;41;4;lai;6;0,8326655771099707;1,566645291686699;1,1582907421415753;1,6558152336053178;1,4363276536262033;0,8218079582069164;27,61979055094706;Not saved
94;GPR;50;5;41;4;lai;6;0,9975003275888316;0,381862881978396;0,16579372078115784;0,04791527447858538;0,13198500241394018;0,9948435547522869;3,797220580931497;Not saved
95;MTN;50;5;41;4;lai;6;0,8932125237004747;1,5406807689212192;0,9158001039512492;1,1125769759064077;1,0077870292266866;0,8802690306471762;22,910884860486366;Not saved
96;ANN;50;5;41;4;cab;7;0,9565267439866335;9,99059322717789;7,429855101341326;64,13383198582477;8,687969593910001;0,6878199628115163;13,073832620698772;Not saved
97;RFR;50;5;41;4;cab;7;0,9673956516595125;5,0180649277919755;2,575028925125653;11,008022242517265;2,3972196973728863;0,9464169739023196;4,5528151410565005;Not saved
98;GPR;50;5;41;4;cab;7;0,9995339229275619;0,8201572030750555;0,460280596650966;0,2907136814312412;0,4917486595738332;0,9985849121271833;1,1150189557182049;Not saved
99;MTN;50;5;41;4;cab;7;0,5059366778812427;19,493108632457258;8,98911043812191;122,5422762739051;6,963588574355935;0,4035090188778283;22,989897330792004;Not saved
100;ANN;50;5;41;4;cw;7;0,7788906384251465;0,0022418418188761774;0,0013436551594801695;2,274137520023183e-06;0,0013293805363735682;-0,07276019050046112;36,298038795098435;Not saved
101;RFR;50;5;41;4;cw;7;0,3180491065661517;0,0028747768909359083;0,001372782910291545;3,1990040077416096e-06;0,0012595321602556246;-0,5090398529292299;44,23077274556187;Not saved
102;GPR;50;5;41;4;cw;7;0,9891828460097893;0,00025485793382419315;0,00012011944449139608;2,3004433721172574e-08;0,00011156271475295078;0,9891483076622258;2,802376077359961;Not saved
103;MTN;50;5;41;4;cw;7;0,23190899355193928;0,0036382528267720387;0,0015779881428622158;4,118317829218337e-06;0,0011690857639349655;-0,9427002017752524;52,35892676737415;Not saved
104;ANN;50;5;41;4;cm;7;-0,03127876092423798;0,0028009079360485946;0,001318732260619274;2,7288936706471916e-06;0,0010701449296196654;-1,8431395212874282;16,732469572832034;Not saved
105;RFR;50;5;41;4;cm;7;-2,248201947968935;0,0032074575253304184;0,0014159947198582946;3,1529235481912154e-06;0,0010231289605623448;-2,284921521084498;18,636254593172342;Not saved
106;GPR;50;5;41;4;cm;7;0,9730195092338786;0,000267847750484735;0,00012157812436072572;2,60487515053073e-08;0,00010913414226609592;0,972860710667642;1,5223189225553009;Not saved
107;MTN;50;5;41;4;cm;7;0,42418288056168296;0,0021859728694976245;0,0013917626187996777;2,4896822522273628e-06;0,001425064745055671;-1,5939134539737312;18,2036540731347;Not saved
