;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
101;RFR;50;5;41;4;cw;7;0,39141920366461935;0,0038666728850702565;0,002640221238671778;8,779007609721552e-06;0,002976877634287259;-1,619132088498307;82,46490843745417;Not saved
102;GPR;50;5;41;4;cw;7;0,9722930255462848;0,0005907004038600309;0,00025208188923583045;9,368095173586804e-08;0,0001882089027094372;0,9720511932919653;5,550851949438992;Not saved
103;MTN;50;5;41;4;cw;7;0,2870028047788553;0,003937917810851814;0,001976815812531857;5,607129656415694e-06;0,002292487297413928;-0,6728329510987434;66,74373873506426;Not saved
104;ANN;50;5;41;4;cm;7;0,6630583711453458;0,003127419568534188;0,0019797059313173943;4,887535683579164e-06;0,0018018954141856888;0,13079262933584024;26,37627301450009;Not saved
105;RFR;50;5;41;4;cm;7;-0,11718158062501272;0,003952139810459701;0,002313766631091849;7,033723102393651e-06;0,002411601029119066;-0,25088886498608765;36,88474343136882;Not saved
106;GPR;50;5;41;4;cm;7;0,9680294965165652;0,0009124047055038501;0,00031391040881488975;1,9020662753924653e-07;0,00020713621496914504;0,9661733410639338;3,8724787112324486;Not saved
107;MTN;50;5;41;4;cm;7;0,602942223126581;0,003186121961269727;0,0020473404964825095;5,619428890844229e-06;0,002695594627346091;0,0006315396825862241;24,799485615900153;Not saved
108;ANN;50;5;41;4;lai;7;0,65160950328639;2,7123431055991674;1,3190535881425187;2,694257083013853;1,2098431449090699;0,6497076718014032;32,178748313407254;Not saved
109;RFR;50;5;41;4;lai;7;0,4724695716144959;4,116064248005337;2,3125337764669673;6,93415221395688;1,865096652751573;0,0984600770193389;64,04359124621597;Not saved
110;GPR;50;5;41;4;lai;7;0,9550559474949882;1,4760877713028338;0,40819999714324606;0,4614630137308525;0,16797729014723295;0,9400031442892229;14,089650044722694;Not saved
111;MTN;50;5;41;4;lai;7;0,7167399919548243;3,274654278084519;1,3837796743094437;2,889331667749139;1,0464486831069917;0,6243451587397845;34,199919479067944;Not saved
112;ANN;50;5;41;4;cab;8;0,7449214666031472;23,223470316950625;14,342716400148323;258,7095590547203;16,767037473586523;0,7389343454983641;24,683113364801557;Not saved
113;RFR;50;5;41;4;cab;8;0,9747496553847147;8,33219439103702;5,9697242908808255;37,575611590997305;6,066704814837415;0,9620821833211501;11,589754358787435;Not saved
114;GPR;50;5;41;4;cab;8;0,9949312848032371;3,2252111146695412;1,9573027619297925;5,359775203706208;2,701281162590732;0,9945914127539399;3,961070786341916;Not saved
115;MTN;50;5;41;4;cab;8;0,5594027446889727;36,815755473200625;19,51339126361899;530,0479549469062;24,558995319041514;0,4651248420001399;24,508106330606058;Not saved
116;ANN;50;5;41;4;cw;8;0,7156107231494859;0,00230921483876753;0,0009247440956458456;1,4330014827042649e-06;0,0007184151786445757;0,5724778547793703;29,84186243477167;Not saved
117;RFR;50;5;41;4;cw;8;0,172896103657735;0,003611590936652702;0,002563598165785183;7,275602969280092e-06;0,0025927535494184757;-1,170605841474997;74,57519241781209;Not saved
118;GPR;50;5;41;4;cw;8;0,907591445699832;0,0013080512042929699;0,0003555589890511146;3,568146128822612e-07;0,00013626727665302756;0,8935478081588457;5,927208514556218;Not saved
119;MTN;50;5;41;4;cw;8;0,016293960610052283;0,003621315167272569;0,002153147120270877;6,004079876515677e-06;0,002492592337209624;-0,791259213521508;69,4377799043534;Not saved
120;ANN;50;5;41;4;cm;8;0,6109286403325661;0,002827721826668076;0,0016989765294607335;3,3091981235873484e-06;0,0015999688975191642;0,4114867724293023;24,366190130415273;Not saved
121;RFR;50;5;41;4;cm;8;-0,14145268978137926;0,003792368484296013;0,0023082819987464143;6,9748233582898936e-06;0,002639289052261299;-0,24041403778897386;38,41770345436954;Not saved
122;GPR;50;5;41;4;cm;8;0,9131489734421129;0,0016868166790553335;0,0004667527369747007;5,990069035174111e-07;0,00024184665635352577;0,8934716287872161;6,055941089748819;Not saved
123;MTN;50;5;41;4;cm;8;0,4137680416173738;0,003187806058610968;0,002092845755668539;5,580147134055352e-06;0,002701980963987277;0,0076174718054439206;27,97180952517071;Not saved
