,Model,NoiseLevel,NoiseType,OutOfBag,KFold_tr_samples,KFold_vl_samples,Variable,Fold_nr,ExplVar,Max_err,Mean_abs_Err,Mean_sqr_err,Median_abs_err,r2,MAPE,ModelName
549,GPR,0.3,Inverted,200,1620,180,cab,8,0.007621695480578783,82.03554679204194,30.09355891387585,1267.0256182056667,29.7961449154395,0.002236629834013848,68.4530317313218,Not stored
550,ANN,0.3,Inverted,200,1620,180,cab,8,-0.06307655455590733,108.53118854052096,30.780954304822945,1361.219255291121,29.72893071628458,-0.07193942425372524,68.23890951075239,Not stored
551,MTN,0.3,Inverted,200,1620,180,cab,8,-0.0009352304802408007,74.78530938596568,30.001417820242796,1271.4557536731468,30.13979577661383,-0.0012520343498916287,70.39226174980254,Not stored
552,RFR,0.3,Combined,200,1620,180,cw,8,0.060420589428084814,0.004174881757252165,0.0018528380602155516,4.474600596117565e-06,0.0018888555921370382,0.057369427624082925,38.0134307333501,Not stored
553,GPR,0.3,Combined,200,1620,180,cw,8,0.1612189261786614,0.004623371206755619,0.0017006884976931967,4.005298555014478e-06,0.0016765568544079494,0.1562337714061902,33.994370692362644,Not stored
554,ANN,0.3,Combined,200,1620,180,cw,8,0.12985616342096862,0.004859708778407981,0.0017090178943302786,4.173965940112853e-06,0.0016930306156358274,0.1207018774770694,33.93400260970365,Not stored
555,MTN,0.3,Combined,200,1620,180,cw,8,0.13552523782100256,0.004274810261872222,0.0017261760522470039,4.12429215423909e-06,0.0017013181773629267,0.13116628166342092,34.500141399348,Not stored
556,RFR,0.3,Inverted,200,1620,180,cw,8,0.005281078338696288,0.004373145572611087,0.001892892413667901,4.744850196085353e-06,0.0019384990777324752,0.0004379698034606694,38.84735716419628,Not stored
557,GPR,0.3,Inverted,200,1620,180,cw,8,0.04143432359407906,0.004117285404813343,0.0018735028344171443,4.56927484989498e-06,0.001853493961662791,0.03742511212363353,37.80003988287182,Not stored
558,ANN,0.3,Inverted,200,1620,180,cw,8,0.015816404468501966,0.004852163654741049,0.0018723517992193421,4.757191712716669e-06,0.0018943806971027074,-0.002161925010896182,36.39706162877238,Not stored
559,MTN,0.3,Inverted,200,1620,180,cw,8,0.0184799758286327,0.004359485745789831,0.0018776767195090127,4.668363229980787e-06,0.0019128578835461802,0.016550905715774777,38.49461162013237,Not stored
560,RFR,0.3,Combined,200,1620,180,cm,8,0.07479257075946144,0.0045308325884182345,0.0018848603061033759,4.813008475505729e-06,0.001893465806532922,0.06643690988195161,42.942814265405424,Not stored
561,GPR,0.3,Combined,200,1620,180,cm,8,0.11786919805778451,0.00511057626150767,0.0018168231789639567,4.582803673519735e-06,0.0018249001875779505,0.11108896220967501,40.6485793657829,Not stored
562,ANN,0.3,Combined,200,1620,180,cm,8,0.11596084759717173,0.005924423177544363,0.0017956908869234212,4.590923766246736e-06,0.00171740748149034,0.10951393509371554,39.95236674936619,Not stored
563,MTN,0.3,Combined,200,1620,180,cm,8,0.11537251026486806,0.005085856606070287,0.0018262191810726708,4.592929891435746e-06,0.0017325227041286133,0.10912481372811922,40.42270521597432,Not stored
564,RFR,0.3,Inverted,200,1620,180,cm,8,0.030812989668258517,0.004515275196918368,0.001884911823682756,5.0041245218980535e-06,0.001946347534880711,0.02936677220212658,42.517382164988916,Not stored
565,GPR,0.3,Inverted,200,1620,180,cm,8,0.048593717566421724,0.004992480208568356,0.0018491307072143995,4.905777593382707e-06,0.0017481200467601317,0.04844279564061804,41.3246230089635,Not stored
566,ANN,0.3,Inverted,200,1620,180,cm,8,-0.048365308251905104,0.005821283761940974,0.0019128718414120965,5.490450376921438e-06,0.0016981963832197488,-0.06496422063333229,44.64071249997926,Not stored
