"";"Model";"NSamples";"Variable";"MAPE";"sd";"ErrorType";"ErrorTypeNames";"Model_ErrorType";"PT_type"
"109";"ANN";2100;"cm";3,26597694595555;1,54760778591346;"Out-of-bag";"Validation error";"ANN Validation error";17
"110";"GPR";2100;"cm";0,0658828862789119;0,00212475396361842;"Out-of-bag";"Validation error";"GPR Validation error";17
"111";"MTN";2100;"cm";2,24584240957336;0,277691320188688;"Out-of-bag";"Validation error";"MTN Validation error";17
"112";"RFR";2100;"cm";36,1111336413001;0,413506197937991;"Out-of-bag";"Validation error";"RFR Validation error";17
"113";"ANN";2350;"cm";3,09966488164881;1,00639740469796;"Out-of-bag";"Validation error";"ANN Validation error";17
"114";"GPR";2350;"cm";0,0680434427434887;0,00127175105607601;"Out-of-bag";"Validation error";"GPR Validation error";17
"115";"MTN";2350;"cm";2,83802742027432;1,16114923142674;"Out-of-bag";"Validation error";"MTN Validation error";17
"116";"RFR";2350;"cm";43,8979107512517;0,347918514860789;"Out-of-bag";"Validation error";"RFR Validation error";17
"117";"ANN";2600;"cm";2,48398460177939;0,252795932026002;"Out-of-bag";"Validation error";"ANN Validation error";17
"118";"GPR";2600;"cm";0,0594747859640716;0,00150155710172208;"Out-of-bag";"Validation error";"GPR Validation error";17
"119";"MTN";2600;"cm";1,93588549153051;0,507784993033078;"Out-of-bag";"Validation error";"MTN Validation error";17
"120";"RFR";2600;"cm";37,1191986540113;0,314726732697926;"Out-of-bag";"Validation error";"RFR Validation error";17
"121";"ANN";2850;"cm";2,94894482933902;1,13027708038989;"Out-of-bag";"Validation error";"ANN Validation error";17
"122";"GPR";2850;"cm";0,0602154351266386;0,00143113954842745;"Out-of-bag";"Validation error";"GPR Validation error";17
"123";"MTN";2850;"cm";3,11071352110727;1,76136010387949;"Out-of-bag";"Validation error";"MTN Validation error";17
"124";"RFR";2850;"cm";37,0478026896289;0,208076360961786;"Out-of-bag";"Validation error";"RFR Validation error";17
"125";"ANN";3100;"cm";2,75883137128537;0,775382031854211;"Out-of-bag";"Validation error";"ANN Validation error";17
"126";"GPR";3100;"cm";0,0593140757696078;0,000805662087938619;"Out-of-bag";"Validation error";"GPR Validation error";17
"127";"MTN";3100;"cm";2,16393989084698;0,970681824098896;"Out-of-bag";"Validation error";"MTN Validation error";17
"128";"RFR";3100;"cm";38,6860817267241;0,306585471543262;"Out-of-bag";"Validation error";"RFR Validation error";17
"129";"ANN";3350;"cm";2,27845193696892;0,421801833663865;"Out-of-bag";"Validation error";"ANN Validation error";17
"130";"GPR";3350;"cm";0,0575906744830076;0,00128048078509291;"Out-of-bag";"Validation error";"GPR Validation error";17
"131";"MTN";3350;"cm";2,33536997288674;0,814072276368816;"Out-of-bag";"Validation error";"MTN Validation error";17
"132";"RFR";3350;"cm";37,511617088944;0,293191146897411;"Out-of-bag";"Validation error";"RFR Validation error";17
"133";"ANN";3600;"cm";2,37386023229029;0,645689811148553;"Out-of-bag";"Validation error";"ANN Validation error";17
"134";"GPR";3600;"cm";0,054351060650449;0,00154794565905812;"Out-of-bag";"Validation error";"GPR Validation error";17
"135";"MTN";3600;"cm";1,6427927351687;0,356353399698607;"Out-of-bag";"Validation error";"MTN Validation error";17
"136";"RFR";3600;"cm";39,3204245619443;0,255118273243532;"Out-of-bag";"Validation error";"RFR Validation error";17
"137";"ANN";3850;"cm";2,17291766590524;0,438642373671363;"Out-of-bag";"Validation error";"ANN Validation error";17
"138";"GPR";3850;"cm";0,0552901026626886;0,000918015781732973;"Out-of-bag";"Validation error";"GPR Validation error";17
"139";"MTN";3850;"cm";2,53603749610993;1,76739396353576;"Out-of-bag";"Validation error";"MTN Validation error";17
"140";"RFR";3850;"cm";37,888359942966;0,236235563062806;"Out-of-bag";"Validation error";"RFR Validation error";17
"141";"ANN";4000;"cm";2,09432993919126;0,464065935688521;"Out-of-bag";"Validation error";"ANN Validation error";17
"142";"GPR";4000;"cm";0,0495411632593968;0,0011383414391248;"Out-of-bag";"Validation error";"GPR Validation error";17
"143";"MTN";4000;"cm";1,93029491984838;0,836506652576313;"Out-of-bag";"Validation error";"MTN Validation error";17
"144";"RFR";4000;"cm";39,3278179636272;0,298017859983236;"Out-of-bag";"Validation error";"RFR Validation error";17
"145";"ANN";50;"cw";39,6233252662552;7,61736239137458;"Out-of-bag";"Validation error";"ANN Validation error";17
"146";"GPR";50;"cw";3,8183374036328;1,20574332755268;"Out-of-bag";"Validation error";"GPR Validation error";17
"147";"MTN";50;"cw";52,2590834502295;19,4347880212805;"Out-of-bag";"Validation error";"MTN Validation error";17
"148";"RFR";50;"cw";72,0158868055876;6,00386672959609;"Out-of-bag";"Validation error";"RFR Validation error";17
"149";"ANN";100;"cw";30,1415351406145;6,41289174802993;"Out-of-bag";"Validation error";"ANN Validation error";17
"150";"GPR";100;"cw";7,49933197104123;2,7776377144186;"Out-of-bag";"Validation error";"GPR Validation error";17
"151";"MTN";100;"cw";36,746480119564;10,7040748147027;"Out-of-bag";"Validation error";"MTN Validation error";17
"152";"RFR";100;"cw";70,1763996431164;4,6718261020148;"Out-of-bag";"Validation error";"RFR Validation error";17
"153";"ANN";350;"cw";11,2472205434379;3,18347000816686;"Out-of-bag";"Validation error";"ANN Validation error";17
"154";"GPR";350;"cw";0,394751207355912;0,0323280796775131;"Out-of-bag";"Validation error";"GPR Validation error";17
"155";"MTN";350;"cw";12,8022867548896;1,34852034710495;"Out-of-bag";"Validation error";"MTN Validation error";17
"156";"RFR";350;"cw";49,1392327621938;1,39855219863848;"Out-of-bag";"Validation error";"RFR Validation error";17
"157";"ANN";600;"cw";6,98702148118426;1,69167002574322;"Out-of-bag";"Validation error";"ANN Validation error";17
"158";"GPR";600;"cw";0,161116655068533;0,0317674623105006;"Out-of-bag";"Validation error";"GPR Validation error";17
"159";"MTN";600;"cw";9,43545665499939;2,80219193456161;"Out-of-bag";"Validation error";"MTN Validation error";17
"160";"RFR";600;"cw";50,8210994980936;0,947862151345325;"Out-of-bag";"Validation error";"RFR Validation error";17
"161";"ANN";850;"cw";5,51135940493308;1,1866613178314;"Out-of-bag";"Validation error";"ANN Validation error";17
"162";"GPR";850;"cw";0,151958488857412;0,0180409069824307;"Out-of-bag";"Validation error";"GPR Validation error";17
"163";"MTN";850;"cw";5,84535968847068;1,60745787773759;"Out-of-bag";"Validation error";"MTN Validation error";17
"164";"RFR";850;"cw";39,1186083455045;0,56093085128126;"Out-of-bag";"Validation error";"RFR Validation error";17
"165";"ANN";1100;"cw";3,85888540050321;0,738818904270518;"Out-of-bag";"Validation error";"ANN Validation error";17
"166";"GPR";1100;"cw";0,0839685398586156;0,00417297007789108;"Out-of-bag";"Validation error";"GPR Validation error";17
"167";"MTN";1100;"cw";4,45740542832304;1,39302389820126;"Out-of-bag";"Validation error";"MTN Validation error";17
"168";"RFR";1100;"cw";41,7392452097689;0,497634222116047;"Out-of-bag";"Validation error";"RFR Validation error";17
"169";"ANN";1350;"cw";3,90024568255979;0,769943345701029;"Out-of-bag";"Validation error";"ANN Validation error";17
"170";"GPR";1350;"cw";0,109498609418848;0,0412326846679208;"Out-of-bag";"Validation error";"GPR Validation error";17
"171";"MTN";1350;"cw";3,92940922081997;0,174305693848936;"Out-of-bag";"Validation error";"MTN Validation error";17
"172";"RFR";1350;"cw";46,5851558512437;0,435260366494685;"Out-of-bag";"Validation error";"RFR Validation error";17
"173";"ANN";1600;"cw";3,57080640761184;0,529117616637359;"Out-of-bag";"Validation error";"ANN Validation error";17
"174";"GPR";1600;"cw";0,0765594554354954;0,00626837529724772;"Out-of-bag";"Validation error";"GPR Validation error";17
"175";"MTN";1600;"cw";3,20064060585198;0,541983600863386;"Out-of-bag";"Validation error";"MTN Validation error";17
"176";"RFR";1600;"cw";45,7915780103329;0,817018867302469;"Out-of-bag";"Validation error";"RFR Validation error";17
"177";"ANN";1850;"cw";2,75948125384763;0,479279751009757;"Out-of-bag";"Validation error";"ANN Validation error";17
"178";"GPR";1850;"cw";0,0681538398436627;0,00219165093603775;"Out-of-bag";"Validation error";"GPR Validation error";17
"179";"MTN";1850;"cw";1,98732552647611;0,529279758093698;"Out-of-bag";"Validation error";"MTN Validation error";17
"180";"RFR";1850;"cw";45,1877337995614;0,494635695319073;"Out-of-bag";"Validation error";"RFR Validation error";17
"181";"ANN";2100;"cw";2,86539779235387;1,25745102373095;"Out-of-bag";"Validation error";"ANN Validation error";17
"182";"GPR";2100;"cw";0,0565322524836036;0,000978317818578386;"Out-of-bag";"Validation error";"GPR Validation error";17
"183";"MTN";2100;"cw";1,81560593911806;0,302749072048832;"Out-of-bag";"Validation error";"MTN Validation error";17
"184";"RFR";2100;"cw";42,3749745397674;0,208799402520711;"Out-of-bag";"Validation error";"RFR Validation error";17
"185";"ANN";2350;"cw";2,33639680580393;0,467076464729849;"Out-of-bag";"Validation error";"ANN Validation error";17
