;Model;Epochs;ValidType;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;Training_time;ModelName
87;MTN_optimized;150;Validation;cw;1;0,9493441214855339;0,0024831487966555156;0,00040511345392667736;2,881417655173706e-07;0,0003237920838368045;0,9456838386701416;8,973967375039656;15,623608589172363;not stored
88;ANN_optimized;150;Training;cm;1;0,9515603049717509;0,00232733553530488;0,00034720251081586727;2,439043978507175e-07;0,00025867964215857365;0,9484528126011208;6,534320493296192;7,48095703125;not stored
89;ANN_optimized;150;Validation;cm;1;0,9650218491674417;0,0020291270304815465;0,0003304095488924372;2,1591616497424575e-07;0,0002654968016466497;0,962788982643647;6,763320263393019;7,48095703125;not stored
90;MTN_optimized;150;Training;cm;1;0,969227092738541;0,0020795724400553784;0,00032356676743664387;1,8817656009876502e-07;0,0002572632783089217;0,960230432526172;6,405606268839363;15,623608589172363;not stored
91;MTN_optimized;150;Validation;cm;1;0,9760595390724763;0,0013005181620976626;0,0003265002557631095;1,6743647115495208e-07;0,00027887681244735327;0,9711439787985463;6,779739756417085;15,623608589172363;not stored
92;ANN_optimized;150;Training;lai;1;0,9137273157361113;2,262469291343379;0,734935550275823;0,7605221967955408;0,7051942377883154;0,9089610586671921;20,28296587946518;7,48095703125;not stored
93;ANN_optimized;150;Validation;lai;1;0,9002926413468494;2,142172026189572;0,8046829595806502;0,8766399374900071;0,7804239950812079;0,8945336259459747;22,59580873111868;7,48095703125;not stored
94;MTN_optimized;150;Training;lai;1;0,9692235276265488;1,5330728149098949;0,4426347677890018;0,30589098127612696;0,39274359506576584;0,9633830659828604;11,812601456243415;15,623608589172363;not stored
95;MTN_optimized;150;Validation;lai;1;0,9710753398634755;1,3943049963981;0,41752693943925806;0,2707469765127344;0,35094443513716556;0,9674271035601616;11,139237877579262;15,623608589172363;not stored
96;ANN_optimized;150;Training;cab;2;0,9904797985837238;22,276725641484063;2,527711709751763;12,373431164225819;1,906591751014961;0,9903581717535699;4,964819469519592;7,826327323913574;not stored
97;ANN_optimized;150;Validation;cab;2;0,9918218964466524;11,781247421114443;2,45285812285379;10,751780968986338;2,021834882940688;0,9916687913695024;4,569034868335605;7,826327323913574;not stored
98;MTN_optimized;150;Training;cab;2;0,9958577675792316;18,07474505066375;1,5199595916644553;5,353977549502994;1,0596761273460231;0,9958279856830011;2,9125575898774443;16,17293882369995;not stored
99;MTN_optimized;150;Validation;cab;2;0,9971290977575795;7,987099929659365;1,4522004008747205;3,7593356785956087;1,0909007812754794;0,9970870119154402;2,785121118771605;16,17293882369995;not stored
100;ANN_optimized;150;Training;cw;2;0,9678238646355681;0,001831107222476775;0,00028903951978576044;1,7998783601268424e-07;0,00021082558014183972;0,9660469843283948;6,522482606363038;7,826327323913574;not stored
101;ANN_optimized;150;Validation;cw;2;0,9685330017370868;0,0020496307110267676;0,00031098409174244826;1,858123679894554e-07;0,00021962614230794288;0,9649734409773031;6,537547719642169;7,826327323913574;not stored
102;MTN_optimized;150;Training;cw;2;0,9246722717207743;0,002787583099140798;0,00045414727834927263;3,9994810743509377e-07;0,00032538577094140975;0,9245535439482943;9,836468315172315;16,17293882369995;not stored
103;MTN_optimized;150;Validation;cw;2;0,9298024605501022;0,0030621883628743686;0,00044800386626056386;3,7249638632643713e-07;0,00035789788582080585;0,9297825715124374;9,260486991448124;16,17293882369995;not stored
104;ANN_optimized;150;Training;cm;2;0,9783165263026264;0,0015673815801932924;0,00024272431232079064;1,1699372675841618e-07;0,0001719629414004345;0,978141082830692;4,617539649567033;7,826327323913574;not stored
105;ANN_optimized;150;Validation;cm;2;0,9786236284096769;0,001369581612606495;0,0002527554358654897;1,2403844807097233e-07;0,0001902587400073371;0,9786231992191294;4,682371253420147;7,826327323913574;not stored
106;MTN_optimized;150;Training;cm;2;0,9442398104261307;0,0020729572550304996;0,0004121244896404353;3,0030342318287053e-07;0,0003289212343562946;0,9438917980058125;8,150536835309882;16,17293882369995;not stored
107;MTN_optimized;150;Validation;cm;2;0,9418731448950093;0,0016566519082436195;0,00044562778843692494;3,4709975077180655e-07;0,00034429111078907414;0,940180787983632;9,268341809088296;16,17293882369995;not stored
108;ANN_optimized;150;Training;lai;2;0,9303632580009313;2,5197609129015497;0,6231272379479876;0,5728015574711948;0,5746538856896048;0,9265519904062525;17,15760738104147;7,826327323913574;not stored
109;ANN_optimized;150;Validation;lai;2;0,930376488905925;2,0392963166558804;0,6417972669399287;0,5847225426399768;0,6065669274205421;0,9296534828467229;19,128274321863106;7,826327323913574;not stored
110;MTN_optimized;150;Training;lai;2;0,9136639901876844;2,9912975492540888;0,6491159809549811;0,6828007185090788;0,5546277200360028;0,912447246224196;15,160131333523683;16,17293882369995;not stored
111;MTN_optimized;150;Validation;lai;2;0,905531782329009;2,5129291291558804;0,7144679802959302;0,785228711009793;0,6031297104325235;0,9055310836163417;17,564922725328792;16,17293882369995;not stored
112;ANN_optimized;150;Training;cab;3;0,9909996555869912;19,558643262447504;2,3241818590266377;11,3661016146858;1,6956416017158862;0,9909239564595197;5,031085456593435;7,631958246231079;not stored
113;ANN_optimized;150;Validation;cab;3;0,9923057024139474;14,368192001192568;2,2652362976986513;9,975409723708438;1,6674289808974017;0,9922703764313435;4,654527843824768;7,631958246231079;not stored
114;MTN_optimized;150;Training;cab;3;0,9949777554669875;17,368572156490472;1,627765116119352;6,324741467743156;1,1645085602462828;0,9949495763024546;2,9640912487737014;15,262625217437744;not stored
115;MTN_optimized;150;Validation;cab;3;0,9971433190985564;9,288991256563662;1,4003911272437413;3,6928375204410235;1,0336780720371124;0,9971385391955;2,6631141731509613;15,262625217437744;not stored
116;ANN_optimized;150;Training;cw;3;0,9769141822901604;0,0016478721890611798;0,00025734524977561585;1,2373109424776344e-07;0,00019491811152697307;0,9761374953956611;5,2458878039531465;7,631958246231079;not stored
117;ANN_optimized;150;Validation;cw;3;0,9713977736945985;0,00195889567787228;0,00026318336420955374;1,5185037076377773e-07;0,00017250153231236328;0,9713754470075011;5,7817534078391155;7,631958246231079;not stored
118;MTN_optimized;150;Training;cw;3;0,9589313791048623;0,002080375203708864;0,000332533110011041;2,1338877554215435e-07;0,00023317104788254288;0,9588463136946601;6,825404783012952;15,262625217437744;not stored
119;MTN_optimized;150;Validation;cw;3;0,9490533557669124;0,0027335283515828646;0,00039105746568635525;2,716328076769767e-07;0,0003143889549982312;0,9487958596430006;8,378165688315365;15,262625217437744;not stored
120;ANN_optimized;150;Training;cm;3;0,972973356915795;0,0019629311155745927;0,00027571609960579384;1,4524026290696944e-07;0,00020832157245152913;0,9728745452963612;5,780638080169976;7,631958246231079;not stored
121;ANN_optimized;150;Validation;cm;3;0,9738735990508631;0,0015254235443072015;0,0002873143913753831;1,5714540007922976e-07;0,0002139173864409826;0,9729175432023964;5,46623177391694;7,631958246231079;not stored
122;MTN_optimized;150;Training;cm;3;0,9519721046133789;0,002168565222129786;0,00038649973562080136;2,5718349114289836e-07;0,0003171793696093775;0,9519677326390628;8,975525513997196;15,262625217437744;not stored
123;MTN_optimized;150;Validation;cm;3;0,9406588600737341;0,0018006356040270281;0,00046105098680984154;3,44833518002238e-07;0,00034747863282689334;0,940571350806624;9,908999617366073;15,262625217437744;not stored
124;ANN_optimized;150;Training;lai;3;0,9290049836285781;2,5022597288911115;0,620356500845763;0,6088042317356571;0,5165427829790339;0,9284041314539434;17,045289013267592;7,631958246231079;not stored
125;ANN_optimized;150;Validation;lai;3;0,9229837629323202;2,306483912023312;0,6436646763476764;0,6412591766279653;0,5347375255100231;0,9228517008003732;17,933253053031223;7,631958246231079;not stored
126;MTN_optimized;150;Training;lai;3;0,929937487469184;3,0046377492824803;0,5995409052519454;0,5966083270277991;0,47782125304292;0,9298383796814478;12,769490011166848;15,262625217437744;not stored
127;MTN_optimized;150;Validation;lai;3;0,926260779418329;2,3971554513299527;0,6083071661025923;0,6165554298204377;0,4579799193806472;0,9258237472357642;13,715499732492392;15,262625217437744;not stored
128;ANN_optimized;150;Training;cab;4;0,9893305795580778;20,139445751009628;2,5189253810766714;13,252632384253072;1,8538617402400703;0,9890818463408061;5,554313409227452;7,380764722824097;not stored
129;ANN_optimized;150;Validation;cab;4;0,9929137903895463;10,369956928762065;2,2911143615691345;9,359538981838854;1,8043699519523742;0,9927475948247181;4,3129654618119835;7,380764722824097;not stored
130;MTN_optimized;150;Training;cab;4;0,9957312799868341;15,466066532891574;1,7731655436057732;6,082561552810177;1,3729753364573227;0,9949888943004263;3,4256655985364337;15,807519435882568;not stored
131;MTN_optimized;150;Validation;cab;4;0,9972878272451956;8,16099290451288;1,6514983391754543;4,2379291879656185;1,4103164188501447;0,996716165226202;2,9352610503993564;15,807519435882568;not stored
132;ANN_optimized;150;Training;cw;4;0,9526860026600883;0,0033182440589671724;0,00031739958510087417;2,42364866649823e-07;0,00019493607053016823;0,9522570301900642;5,97118916885576;7,380764722824097;not stored
133;ANN_optimized;150;Validation;cw;4;0,9531641001620076;0,0026204811578470267;0,00036638866225367816;2,8148498167722176e-07;0,0002574726831353997;0,9469386756575888;7,711586138916809;7,380764722824097;not stored
134;MTN_optimized;150;Training;cw;4;0,9513085253611836;0,0028357868346875303;0,0003273994790313191;2,6872577317023876e-07;0,00020704508339040818;0,9470642479953366;6,04513007368489;15,807519435882568;not stored
135;MTN_optimized;150;Validation;cw;4;0,9638373403049462;0,001967158837415556;0,0003181756568437091;1,9750099494736593e-07;0,00019583078137571036;0,9627700764409942;6,698915914703083;15,807519435882568;not stored
136;ANN_optimized;150;Training;cm;4;0,921353132347523;0,0027186026825667016;0,0004164412256473332;3,8191385039050336e-07;0,00024166487241341099;0,9209018001338315;8,69841753166813;7,380764722824097;not stored
137;ANN_optimized;150;Validation;cm;4;0,943846477586719;0,0020711464463523295;0,0004140064822764521;3,365509405120563e-07;0,0002717835305980406;0,9419987711888786;8,001264866969635;7,380764722824097;not stored
138;MTN_optimized;150;Training;cm;4;0,9562809407834182;0,002637398770155581;0,0003271238390686483;2,1162848156241142e-07;0,000267899067511128;0,9561696128200602;6,998760871659325;15,807519435882568;not stored
139;MTN_optimized;150;Validation;cm;4;0,975783720461889;0,0015061682037568486;0,0002892193621760958;1,488080660361328e-07;0,00022082062728852976;0,9743544003354434;5,772829936195522;15,807519435882568;not stored
140;ANN_optimized;150;Training;lai;4;0,8680380456678798;2,586978439547245;0,857848030875494;1,0619902358561453;0,7701684052017677;0,8669491552713398;26,40922266522069;7,380764722824097;not stored
141;ANN_optimized;150;Validation;lai;4;0,8708961970200844;2,5636387691583753;0,8825748589522917;1,0818937472579626;0,7948295859327699;0,8698400497680725;25,20570587524996;7,380764722824097;not stored
